Curso,Rama,Avila,Zamora,Burgos,Leon,Salamanca,Valladolid,Palencia,Soria,Segovia
2011-2012,0,,,,,29,304,,,
2011-2012,1,140,,,,225,65,,,
2011-2012,2,75,,,,,376,,,
2011-2012,3,863,,,,144,434,,,261
2011-2012,4,778,,,,3475,,,,320
2011-2012,5,,,,,588,,,,
2012-2013,0,,,,,41,430,,,
2012-2013,1,254,,,,458,47,,,
2012-2013,2,77,,,,,268,,,5
2012-2013,3,1103,,,,108,407,,,169
2012-2013,4,822,,,,1721,,,,567
2012-2013,5,,,,,1869,,,,
2013-2014,0,,,,,48,1033,,,
2013-2014,1,336,,,,1493,21,,,
2013-2014,2,61,,,,,141,,,5
2013-2014,3,1112,,,,385,1826,,,121
2013-2014,4,1003,,,,3234,,,,914
2013-2014,5,,,,,,,,,
2014-2015,0,,,,,70,1481,,,
2014-2015,1,305,,,,1085,27,,,
2014-2015,2,37,,,,,159,,,
2014-2015,3,905,,,,270,508,,,86
2014-2015,4,729,,,,1761,878,,,1467
2014-2015,5,,,,,1423,,,,
2015-2016,0,,,,,60,1798,,,
2015-2016,1,339,,,,1127,26,,,
2015-2016,2,38,,,,,188,,,
2015-2016,3,470,,,,219,706,,,91
2015-2016,4,562,,,,1023,682,,,1704
2015-2016,5,180,,,,1960,,,,
2016-2017,0,,,,,17,2390,,,
2016-2017,1,370,,,,1066,25,,,
2016-2017,2,30,,,,,235,,,
2016-2017,3,654,,,,214,976,,,110
2016-2017,4,634,,,,1566,1369,,,2230
2016-2017,5,306,,,,1161,,,,
2017-2018,0,,,,,10,2831,,,
2017-2018,1,469,,,,974,22,,,
2017-2018,2,38,,,,,345,,,
2017-2018,3,628,,,,252,1428,,,127
2017-2018,4,563,,,,1525,1802,,,2691
2017-2018,5,275,,,,1046,,,,
